COUNTRY,SKU,Retail price,Currency,Compliance,Sellability
RO,KM0010200200100,0.00,EUR,No,No
RO,KM0010200700100,0.00,EUR,No,No
RO,KM0010201100100,0.00,EUR,No,No
RO,KM0010201200121,0.00,EUR,No,No
RO,KM0010201200133,0.00,EUR,No,No
RO,KM0010201200144,0.00,EUR,No,No
RO,KM0010200200300,0.00,EUR,No,No
RO,KM0010200700300,0.00,EUR,No,No
RO,KM0010201100300,0.00,EUR,No,No
RO,KM0010201200321,0.00,EUR,No,No
RO,KM0010201200333,0.00,EUR,No,No
RO,KM0010201200344,0.00,EUR,No,No
RO,KM0030100800400,0.00,EUR,No,No
RO,KM0030102900400,0.00,EUR,No,No
RO,KM0030103700400,0.00,EUR,No,No
RO,KM0030105300433,0.00,EUR,No,No
RO,KM0030105300444,0.00,EUR,No,No
RO,KM0030106700444,0.00,EUR,No,No
RO,KM0030300910000,0.00,EUR,No,No
RO,KM0030301710021,0.00,EUR,No,No
RO,KM0030301710033,0.00,EUR,No,No
RO,KM0030301710044,0.00,EUR,No,No
RO,KM0030302810044,0.00,EUR,No,No
RO,KM0030300110000,0.00,EUR,No,No
RO,KM0030101600300,0.00,EUR,No,No
RO,KM0030102900300,0.00,EUR,No,No
RO,KM0030105300333,0.00,EUR,No,No
RO,KM0030105300344,0.00,EUR,No,No
RO,KM0030106700344,0.00,EUR,No,No
RO,KM0030107000344,0.00,EUR,No,No
RO,KM0040302900044,3.99,EUR,Yes,No
RO,KM000000253001B,4.99,EUR,Yes,No
RO,KM0040302000044,3.99,EUR,No,No
RO,KM0040300200000,2.99,EUR,No,No
RO,KM0040300900000,2.99,EUR,No,No
RO,KM0040301000000,2.99,EUR,No,No
RO,KM000000357001B,5.99,EUR,Yes,Yes
RO,KM0040301000044,0.00,EUR,No,No
RO,KM000000725001B,5.99,EUR,Yes,No
RO,KM0020201300200,0.00,EUR,No,No
RO,KM0020201300233,0.00,EUR,No,No
RO,KM0020201300244,0.00,EUR,No,No
RO,KM0020300500200,0.00,EUR,No,No
RO,KM0020201300444,3.99,EUR,No,No
RO,KM0020201300400,3.99,EUR,No,No
RO,KM0020201300433,3.99,EUR,No,No
RO,KM0020300500400,3.99,EUR,No,No
RO,KM0020201300500,0.00,EUR,No,No
RO,KM0020201300533,0.00,EUR,No,No
RO,KM0020201300544,0.00,EUR,No,No
RO,KM0020300500500,0.00,EUR,No,No
RO,KM0020201300600,0.00,EUR,No,No
RO,KM0020201300633,0.00,EUR,No,No
RO,KM0020201300644,0.00,EUR,No,No
RO,KM0020300500600,0.00,EUR,No,No
RO,KM0020201300744,3.99,EUR,No,No
RO,KM0020201300700,3.99,EUR,No,No
RO,KM0020201300733,3.99,EUR,No,No
RO,KM0020300500700,3.99,EUR,No,No
RO,KM0020201300800,0.00,EUR,No,No
RO,KM0020201300833,0.00,EUR,No,No
RO,KM0020201300844,0.00,EUR,No,No
RO,KM0020300500800,0.00,EUR,No,No
RO,KM0020201301000,0.00,EUR,No,No
RO,KM0020201301033,0.00,EUR,No,No
RO,KM0020201301044,0.00,EUR,No,No
RO,KM0020300501000,0.00,EUR,No,No
RO,KM0020201301100,0.00,EUR,No,No
RO,KM0020201301133,0.00,EUR,No,No
RO,KM0020201301144,0.00,EUR,No,No
RO,KM0020300501100,0.00,EUR,No,No
RO,KM0020201301200,0.00,EUR,No,No
RO,KM0020201301233,0.00,EUR,No,No
RO,KM0020201301244,0.00,EUR,No,No
RO,KM0020300501200,0.00,EUR,No,No
RO,KM0030101600101,0.00,EUR,No,No
RO,KM0030102900100,0.00,EUR,No,No
RO,KM0030103700121,0.00,EUR,No,No
RO,KM0030105300133,0.00,EUR,No,No
RO,KM0030105300144,0.00,EUR,No,No
RO,KM0030105400044,9.99,EUR,Yes,No
RO,KM0030101200400,7.99,EUR,No,No
RO,KM0030101900400,7.99,EUR,No,No
RO,KM0030104500021,7.99,EUR,No,No
RO,KM0030105400033,7.99,EUR,No,No
RO,KM0030101600200,0.00,EUR,No,No
RO,KM0030102900200,0.00,EUR,No,No
RO,KM0030103700200,0.00,EUR,No,No
RO,KM0030105300233,0.00,EUR,No,No
RO,KM0030106700244,0.00,EUR,No,No
RO,KM0030102900700,0.00,EUR,No,No
RO,KM0030103700700,0.00,EUR,No,No
RO,KM0030105300733,0.00,EUR,No,No
RO,KM0030105300744,0.00,EUR,No,No
RO,KM0030106700744,0.00,EUR,No,No
RO,KM0030107000744,0.00,EUR,No,No
RO,KM0030102900800,0.00,EUR,No,No
RO,KM0030105300833,0.00,EUR,No,No
RO,KM0030105300844,0.00,EUR,No,No
RO,KM0030106700844,0.00,EUR,No,No
RO,KM0030107000844,0.00,EUR,No,No
RO,KM0030200710000,0.00,EUR,No,No
RO,KM0030201010000,0.00,EUR,No,No
RO,KM0030201410021,0.00,EUR,No,No
RO,KM0030201410033,0.00,EUR,No,No
RO,KM0030201410044,0.00,EUR,No,No
RO,KM000000014102B,0.00,EUR,No,No
RO,KM0030200710200,0.00,EUR,No,No
RO,KM0030201010200,0.00,EUR,No,No
RO,KM0030201410221,0.00,EUR,No,No
RO,KM0030201410233,0.00,EUR,No,No
RO,KM0030201410244,0.00,EUR,No,No
RO,KM0030201810244,0.00,EUR,Yes,No
RO,KM000000014103B,6.99,EUR,Yes,No
RO,KM0030201810344,6.99,EUR,Yes,No
RO,KM0030200710300,6.99,EUR,No,No
RO,KM0030201010300,6.99,EUR,No,No
RO,KM0030201410321,6.99,EUR,No,No
RO,KM0030201410333,6.99,EUR,No,No
RO,KM0030201410344,6.99,EUR,No,No
RO,KM0030201810444,6.99,EUR,Yes,No
RO,KM0030200710400,6.99,EUR,No,No
RO,KM0030201010400,6.99,EUR,No,No
RO,KM0030201410421,6.99,EUR,No,No
RO,KM0030201410433,6.99,EUR,No,No
RO,KM0030201410444,6.99,EUR,No,No
RO,KM0030200710600,0.00,EUR,No,No
RO,KM0030201010600,0.00,EUR,No,No
RO,KM0030201410621,0.00,EUR,No,No
RO,KM0030201410633,0.00,EUR,No,No
RO,KM0030201410644,0.00,EUR,No,No
RO,KM000000014107B,0.00,EUR,Yes,No
RO,KM0030200710700,0.00,EUR,No,No
RO,KM0030201010700,0.00,EUR,No,No
RO,KM0030201410721,0.00,EUR,No,No
RO,KM0030201410733,0.00,EUR,No,No
RO,KM0030201410744,0.00,EUR,No,No
RO,KM0030201810744,0.00,EUR,Yes,No
RO,KM0030200710800,0.00,EUR,No,No
RO,KM0030201010800,0.00,EUR,No,No
RO,KM0030201410821,0.00,EUR,No,No
RO,KM0030201410833,0.00,EUR,No,No
RO,KM0030201410844,0.00,EUR,No,No
RO,KM0030200710900,0.00,EUR,No,No
RO,KM0030201010900,0.00,EUR,No,No
RO,KM0030201410921,0.00,EUR,No,No
RO,KM0030201410933,0.00,EUR,No,No
RO,KM0030201410944,0.00,EUR,No,No
RO,KM0030200711000,0.00,EUR,No,No
RO,KM0030201011000,0.00,EUR,No,No
RO,KM0030201411021,0.00,EUR,No,No
RO,KM0030201411033,0.00,EUR,No,No
RO,KM0030201411044,0.00,EUR,No,No
RO,KM0030201811044,0.00,EUR,Yes,No
RO,KM0030201811144,6.99,EUR,Yes,No
RO,KM0030200711100,6.99,EUR,No,No
RO,KM0030201011100,6.99,EUR,No,No
RO,KM0030201411121,6.99,EUR,No,No
RO,KM0030201411133,6.99,EUR,No,No
RO,KM0030201411144,6.99,EUR,No,No
RO,KM0030200711200,0.00,EUR,No,No
RO,KM0030201011200,0.00,EUR,No,No
RO,KM0030201411221,0.00,EUR,No,No
RO,KM0030201411233,0.00,EUR,No,No
RO,KM0030201411244,0.00,EUR,No,No
RO,KM0030200711300,0.00,EUR,No,No
RO,KM0030201011300,0.00,EUR,No,No
RO,KM0030201411321,0.00,EUR,No,No
RO,KM0030201411333,0.00,EUR,No,No
RO,KM0030201411344,0.00,EUR,No,No
RO,KM0030800400144,9.99,EUR,Yes,No
RO,KM0030800200100,7.49,EUR,No,No
RO,KM0030800400100,7.49,EUR,No,No
RO,KM0030800400133,7.49,EUR,No,No
RO,KM000000365001B,9.99,EUR,Yes,No
RO,KM000000364001B,9.99,EUR,Yes,No
RO,KM000000645001B,9.99,EUR,Yes,Yes
RO,KM0030800400244,9.49,EUR,Yes,No
RO,KM0030800400201,7.49,EUR,No,No
RO,KM0030800400233,7.49,EUR,No,No
RO,KM000000365002B,9.99,EUR,Yes,No
RO,KM000000364002B,9.99,EUR,Yes,Yes
RO,KM0030800400344,9.99,EUR,Yes,No
RO,KM0030800400301,7.49,EUR,No,No
RO,KM0030800400333,7.49,EUR,No,No
RO,KM000000365003B,9.49,EUR,Yes,No
RO,KM000000364003B,9.99,EUR,Yes,Yes
RO,KM0050103100044,19.99,EUR,Yes,No
RO,KM0050100650000,17.49,EUR,No,No
RO,KM0050100700000,17.49,EUR,No,No
RO,KM0050100700033,17.49,EUR,No,No
RO,KM0050100700044,17.49,EUR,No,No
RO,KM0050103000044,17.49,EUR,No,No
RO,KA000000233001B,19.99,EUR,Yes,Yes
RO,KM0050203200044,4.99,EUR,No,No
RO,KM0050200200000,4.99,EUR,No,No
RO,KM0050200200033,4.99,EUR,No,No
RO,KM0050200200044,4.99,EUR,No,No
RO,KM0050204100044,27.49,EUR,Yes,No
RO,KM0050200900000,24.00,EUR,No,No
